85,85,'Michigan State University',"East Lansing, MI",in-state: $13200 out-of-state: $34980
86,85,'University of California--Santa Cruz',"Santa Cruz, CA",in-state: $13398 out-of-state: $36276
87,85,'University of Vermont',"Burlington, VT",in-state: $16226 out-of-state: $37874
88,88,'Binghamton University--SUNY',"Binghamton, NY",in-state: $8619 out-of-state: $20259
89,88,'Colorado School of Mines',"Golden, CO",in-state: $16918 out-of-state: $33598
90,88,'Stony Brook University--SUNY',"Stony Brook, NY",in-state: $8430 out-of-state: $21850
91,88,'University of Alabama',"Tuscaloosa, AL",in-state: $9826 out-of-state: $24950
92,88,'University of Colorado--Boulder',"Boulder, CO",in-state: $10789 out-of-state: $33151
93,88,'University of Denver',"Denver, CO",$42090
94,88,'University of Tulsa',"Tulsa, OK",$34704
95,95,'Drexel University',"Philadelphia, PA",$47051
96,95,'Florida State University',"Tallahassee, FL",in-state: $6507 out-of-state: $21673
97,95,'North Carolina State University--Raleigh',"Raleigh, NC",in-state: $8296 out-of-state: $23551
98,95,'University of San Diego',"San Diego, CA",$42908
99,99,'Saint Louis University',"St. Louis, MO",$37966
100,99,'University of Missouri',"Columbia, MO",in-state: $9433 out-of-state: $24460
101,99,'University of Nebraska--Lincoln',"Lincoln, NE",in-state: $8060 out-of-state: $21388
102,99,'University of New Hampshire',"Durham, NH",in-state: $16552 out-of-state: $29532
103,103,'Auburn University',"Auburn, AL",in-state: $10200 out-of-state: $27384
104,103,'University at Buffalo--SUNY',"Buffalo, NY",in-state: $8426 out-of-state: $20366
105,103,'University of Dayton',"Dayton, OH",$37230
106,106,'Iowa State University',"Ames, IA",in-state: $7731 out-of-state: $20617
107,106,'Loyola University Chicago',"Chicago, IL",$37412
108,106,'University of Kansas',"Lawrence, KS",in-state: $10448 out-of-state: $25731
109,106,'University of Oklahoma',"Norman, OK",in-state: $7695 out-of-state: $20469
110,106,'University of Oregon',"Eugene, OR",in-state: $9918 out-of-state: $30888
111,106,'University of San Francisco',"San Francisco, CA",$41450
112,106,'University of Tennessee',"Knoxville, TN",in-state: $11246 out-of-state: $29696
113,113,'University of California--Riverside',"Riverside, CA",in-state: $13408 out-of-state: $36286
114,113,'University of South Carolina',"Columbia, SC",in-state: $11158 out-of-state: $29440
115,113,'University of St. Thomas',"St. Paul, MN",$34442
116,116,'The Catholic University of America',"Washington, DC",$39726
117,116,'Duquesne University',"Pittsburgh, PA",$32636
118,116,'Illinois Institute of Technology',"Chicago, IL",$41335
119,116,'Michigan Technological University',"Houghton, MI",in-state: $14040 out-of-state: $29520
120,116,'University of the Pacific',"Stockton, CA",$41342
121,121,'Clarkson University',"Potsdam, NY",$42530
122,121,'Colorado State University',"Fort Collins, CO",in-state: $9897 out-of-state: $26077
123,121,'DePaul University',"Chicago, IL",$35071
124,121,'Temple University',"Philadelphia, PA",in-state: $14770 out-of-state: $25450
125,121,'University of Arizona',"Tucson, AZ",in-state: $10581 out-of-state: $28379
126,126,'Rutgers',"Newark, NJ",in-state: $13297 out-of-state: $28075
127,126,'Seton Hall University',"South Orange, NJ",$36926
128,126,'University at Albany--SUNY',"Albany, NY",in-state: $8527 out-of-state: $20167
129,129,'Arizona State University--Tempe',"Tempe, AZ",in-state: $9811 out-of-state: $23312
130,129,'Louisiana State University--Baton Rouge',"Baton Rouge, LA",in-state: $8750 out-of-state: $26467
131,129,'Ohio University',"Athens, OH",in-state: $10536 out-of-state: $19500
132,129,'University of Cincinnati',"Cincinnati, OH",in-state: $11000 out-of-state: $26334
133,129,'University of Kentucky',"Lexington, KY",in-state: $10616 out-of-state: $22888
134,129,'University of Utah',"Salt Lake City, UT",in-state: $7935 out-of-state: $25267
135,135,'Hofstra University',"Hempstead, NY",$38900
136,135,'New School',"New York, NY",$41836
137,135,'University of Arkansas',"Fayetteville, AR",in-state: $8210 out-of-state: $20300
138,138,'George Mason University',"Fairfax, VA",in-state: $10382 out-of-state: $29960
139,138,'Missouri University of Science & Technology',"Rolla, MO",in-state: $9537 out-of-state: $25404
140,138,'Oregon State University',"Corvallis, OR",in-state: $8276 out-of-state: $23540
141,138,'Washington State University',"Pullman, WA",in-state: $12428 out-of-state: $25510
142,142,'Illinois State University',"Normal, IL",in-state: $12830 out-of-state: $20420
143,142,'Kansas State University',"Manhattan, KS",in-state: $9034 out-of-state: $22624
144,142,'St. John Fisher College',"Rochester, NY",$29550
145,145,'Howard University',"Washington, DC",$23970
146,145,'Oklahoma State University',"Stillwater, OK",in-state: $7442 out-of-state: $20027
147,145,"b""St. John's University""","Queens, NY",$38680
148,145,'University of Texas--Dallas',"Richardson, TX",in-state: $11806 out-of-state: $30378
149,149,'Adelphi University',"Garden City, NY",$32340
150,149,'New Jersey Institute of Technology',"Newark, NJ",in-state: $15602 out-of-state: $28274
151,149,'San Diego State University',"San Diego, CA",in-state: $6866 out-of-state: $18026
152,149,'University of Alabama--Birmingham',"Birmingham, AL",in-state: $9280 out-of-state: $21220
153,149,'University of Illinois--Chicago',"Chicago, IL",in-state: $13640 out-of-state: $26030
154,149,'University of Maryland--Baltimore County',"Baltimore, MD",in-state: $10068 out-of-state: $21642
155,149,'University of Mississippi',"University, MS",in-state: $7096 out-of-state: $19144
156,156,'Maryville University of St. Louis',"St Louis, MO",$25884
157,156,'Mississippi State University',"Mississippi State, MS",in-state: $6772 out-of-state: $16960
158,156,'Texas Tech University',"Lubbock, TX",in-state: $9308 out-of-state: $20168
159,156,'University of Massachusetts--Lowell',"Lowell, MA",in-state: $12447 out-of-state: $19560
160,156,'Virginia Commonwealth University',"Richmond, VA",in-state: $12398 out-of-state: $29847
161,161,'Biola University',"La Mirada, CA",$33322
162,161,'University of Louisville',"Louisville, KY",in-state: $10432 out-of-state: $24320
163,161,'University of Rhode Island',"Kingston, RI",in-state: $12506 out-of-state: $28072
164,161,'University of South Florida',"Tampa, FL",in-state: $6410 out-of-state: $17325
165,161,'University of Wyoming',"Laramie, WY",in-state: $4646 out-of-state: $14876
166,166,'University of Idaho',"Moscow, ID",in-state: $6784 out-of-state: $20314
167,166,'University of La Verne',"La Verne, CA",$36744
168,168,'Andrews University',"Berrien Springs, MI",$26262
169,168,'University of Hawaii--Manoa',"Honolulu, HI",in-state: $10620 out-of-state: $29412
170,168,'University of North Dakota',"Grand Forks, ND",in-state: $7508 out-of-state: $17794
171,168,'University of South Dakota',"Vermillion, SD",in-state: $8022 out-of-state: $10104
172,168,'West Virginia University',"Morgantown, WV",in-state: $6960 out-of-state: $20424
173,173,'Azusa Pacific University',"Azusa, CA",$33096
174,173,'Ball State University',"Muncie, IN",in-state: $9344 out-of-state: $24610
175,173,'Bowling Green State University',"Bowling Green, OH",in-state: $10726 out-of-state: $18034
176,173,'Florida Institute of Technology',"Melbourne, FL",$37990
177,173,'Pace University',"New York, NY",$39747
178,173,'University of Central Florida',"Orlando, FL",in-state: $6368 out-of-state: $22467
179,173,'University of Maine',"Orono, ME",in-state: $10604 out-of-state: $28484
180,173,'Western Michigan University',"Kalamazoo, MI",in-state: $10685 out-of-state: $24917
181,181,'Edgewood College',"Madison, WI",$25590
182,181,'Immaculata University',"Immaculata, PA",$30740
183,181,'North Dakota State University',"Fargo, ND",in-state: $7660 out-of-state: $18242
184,181,'South Dakota State University',"Brookings, SD",in-state: $7713 out-of-state: $9795
185,181,'Spalding University',"Louisville, KY",$22425
186,181,"b""St. Mary's University of Minnesota""","Winona, MN",$30315
187,181,'University of Alabama--Huntsville',"Huntsville, AL",in-state: $9158 out-of-state: $21232
188,181,'University of North Carolina--Greensboro',"Greensboro, NC",in-state: $6442 out-of-state: $21304
189,189,'Southern Illinois University--Carbondale',"Carbondale, IL",in-state: $12251 out-of-state: $24874
190,189,'University of Houston',"Houston, TX",in-state: $10518 out-of-state: $24378
191,189,'University of Missouri--Kansas City',"Kansas City, MO",in-state: $9582 out-of-state: $22641
192,189,'University of New Mexico',"Albuquerque, NM",in-state: $6846 out-of-state: $20688
193,189,'Widener University',"Chester, PA",$39830
194,194,'Central Michigan University',"Mount Pleasant, MI",in-state: $11550 out-of-state: $23670
195,194,'Indiana University-\xe2\x80\x8bPurdue University--Indianapolis',"Indianapolis, IN",in-state: $8909 out-of-state: $30089
196,194,'Kent State University',"Kent, OH",in-state: $10012 out-of-state: $17972
197,194,'Northern Illinois University',"DeKalb, IL",in-state: $13636 out-of-state: $22914
198,194,'University of Montana',"Missoula, MT",in-state: $6330 out-of-state: $23146
199,194,'University of Nevada--Reno',"Reno, NV",in-state: $6415 out-of-state: $20325
200,194,'Utah State University',"Logan, UT",in-state: $6384 out-of-state: $18491
201,201,'Louisiana Tech University',"Ruston, LA",in-state: $8052 out-of-state: $22635
202,201,'University of North Carolina--Charlotte',"Charlotte, NC",in-state: $6179 out-of-state: $18708
203,203,'Ashland University',"Ashland, OH",$19852
204,204,'Barry University',"Miami Shores, FL",$28160
205,205,'Benedictine University',"Lisle, IL",$26950
206,206,'Bowie State University',"Bowie, MD",in-state: $6971 out-of-state: $17538
207,207,'Cardinal Stritch University',"Milwaukee, WI",$26570
208,208,'Clark Atlanta University',"Atlanta, GA",$21334
209,209,'Cleveland State University',"Cleveland, OH",in-state: $9473 out-of-state: $12653
210,210,'East Carolina University',"Greenville, NC",in-state: $6143 out-of-state: $21340
